"Coverage Properties"
"LatLon Region Coverage                                             "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.5000 (deg)                                           "
"Number of Points: 10206                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"    Constellation/C4:    Active                                    "
"        Satellite/C4_P1_S1:    Active                              "
"        Satellite/C4_P1_S2:    Active                              "
"        Satellite/C4_P1_S3:    Active                              "
"        Satellite/C4_P1_S4:    Active                              "
"        Satellite/C4_P1_S5:    Active                              "
"        Satellite/C4_P1_S6:    Active                              "
"        Satellite/C4_P1_S7:    Active                              "
"        Satellite/C4_P1_S8:    Active                              "
"        Satellite/C4_P2_S1:    Active                              "
"        Satellite/C4_P2_S2:    Active                              "
"        Satellite/C4_P2_S3:    Active                              "
"        Satellite/C4_P2_S4:    Active                              "
"        Satellite/C4_P2_S5:    Active                              "
"        Satellite/C4_P2_S6:    Active                              "
"        Satellite/C4_P2_S7:    Active                              "
"        Satellite/C4_P2_S8:    Active                              "
"        Satellite/C4_P3_S1:    Active                              "
"        Satellite/C4_P3_S2:    Active                              "
"        Satellite/C4_P3_S3:    Active                              "
"        Satellite/C4_P3_S4:    Active                              "
"        Satellite/C4_P3_S5:    Active                              "
"        Satellite/C4_P3_S6:    Active                              "
"        Satellite/C4_P3_S7:    Active                              "
"        Satellite/C4_P3_S8:    Active                              "
"        Satellite/C4_P4_S1:    Active                              "
"        Satellite/C4_P4_S2:    Active                              "
"        Satellite/C4_P4_S3:    Active                              "
"        Satellite/C4_P4_S4:    Active                              "
"        Satellite/C4_P4_S5:    Active                              "
"        Satellite/C4_P4_S6:    Active                              "
"        Satellite/C4_P4_S7:    Active                              "
"        Satellite/C4_P4_S8:    Active                              "
"Access Interval: 1 Jul 2026 00:00:00.000 to 3 Aug 2026 00:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "


"FOM Properties"
"Maximum Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "


"Latitude (deg)","Longitude (deg)","FOM Value (min)"
-38.765,89.491,4.438
-38.765,90.139,4.436
-38.765,90.787,4.440
-38.765,91.435,4.439
-38.765,92.083,4.442
-38.765,92.731,4.439
-38.765,93.380,4.437
-38.765,94.028,4.442
-38.765,94.676,4.440
-38.272,60.324,4.440
-38.272,60.972,4.440
-38.272,61.620,4.440
-38.272,62.269,4.440
-38.272,62.917,4.439
-38.272,63.565,4.440
-38.272,64.213,4.440
-38.272,64.861,4.440
-38.272,65.509,4.439
-38.272,66.157,4.439
-38.272,66.806,4.440
-38.272,67.454,4.440
-38.272,68.102,4.440
-38.272,68.750,4.439
-38.272,69.398,4.440
-38.272,70.046,4.440
-38.272,70.694,4.440
-38.272,71.343,4.440
-38.272,71.991,4.439
-38.272,72.639,4.440
-38.272,73.287,4.440
-38.272,73.935,4.440
-38.272,74.583,4.439
-38.272,75.231,4.439
-38.272,75.880,4.440
-38.272,76.528,4.440
-38.272,77.176,4.440
-38.272,77.824,4.439
-38.272,78.472,4.440
-38.272,79.120,4.440
-38.272,79.769,4.440
-38.272,80.417,4.440
-38.272,81.065,4.439
-38.272,81.713,4.440
-38.272,82.361,4.440
-38.272,83.009,4.440
-38.272,83.657,4.439
-38.272,84.306,4.439
-38.272,84.954,4.440
-38.272,85.602,4.440
-38.272,86.250,4.440
-38.272,86.898,4.439
-38.272,87.546,4.440
-38.272,88.194,4.440
-38.272,88.843,4.440
-38.272,89.491,4.440
-38.272,90.139,4.439
-38.272,90.787,4.440
-38.272,91.435,4.440
-38.272,92.083,4.440
-38.272,92.731,4.439
-38.272,93.380,4.439
-38.272,94.028,4.440
-38.272,94.676,4.440
-37.778,60.324,4.484
-37.778,60.972,4.484
-37.778,61.620,4.484
-37.778,62.269,4.484
-37.778,62.917,4.483
-37.778,63.565,4.484
-37.778,64.213,4.484
-37.778,64.861,4.484
-37.778,65.509,4.484
-37.778,66.157,4.484
-37.778,66.806,4.484
-37.778,67.454,4.484
-37.778,68.102,4.484
-37.778,68.750,4.483
-37.778,69.398,4.484
-37.778,70.046,4.484
-37.778,70.694,4.484
-37.778,71.343,4.484
-37.778,71.991,4.483
-37.778,72.639,4.484
-37.778,73.287,4.484
-37.778,73.935,4.484
-37.778,74.583,4.484
-37.778,75.231,4.484
-37.778,75.880,4.484
-37.778,76.528,4.484
-37.778,77.176,4.484
-37.778,77.824,4.483
-37.778,78.472,4.484
-37.778,79.120,4.484
-37.778,79.769,4.484
-37.778,80.417,4.484
-37.778,81.065,4.483
-37.778,81.713,4.484
-37.778,82.361,4.484
-37.778,83.009,4.484
-37.778,83.657,4.484
-37.778,84.306,4.484
-37.778,84.954,4.484
-37.778,85.602,4.484
-37.778,86.250,4.484
-37.778,86.898,4.483
-37.778,87.546,4.484
-37.778,88.194,4.484
-37.778,88.843,4.484
-37.778,89.491,4.484
-37.778,90.139,4.483
-37.778,90.787,4.484
-37.778,91.435,4.484
-37.778,92.083,4.484
-37.778,92.731,4.484
-37.778,93.380,4.484
-37.778,94.028,4.484
-37.778,94.676,4.484
-37.284,60.324,4.538
-37.284,60.972,4.538
-37.284,61.620,4.538
-37.284,62.269,4.538
-37.284,62.917,4.537
-37.284,63.565,4.538
-37.284,64.213,4.538
-37.284,64.861,4.538
-37.284,65.509,4.538
-37.284,66.157,4.538
-37.284,66.806,4.538
-37.284,67.454,4.538
-37.284,68.102,4.538
-37.284,68.750,4.537
-37.284,69.398,4.538
-37.284,70.046,4.538
-37.284,70.694,4.538
-37.284,71.343,4.538
-37.284,71.991,4.537
-37.284,72.639,4.538
-37.284,73.287,4.538
-37.284,73.935,4.538
-37.284,74.583,4.538
-37.284,75.231,4.538
-37.284,75.880,4.538
-37.284,76.528,4.538
-37.284,77.176,4.538
-37.284,77.824,4.537
-37.284,78.472,4.538
-37.284,79.120,4.538
-37.284,79.769,4.538
-37.284,80.417,4.538
-37.284,81.065,4.537
-37.284,81.713,4.538
-37.284,82.361,4.538
-37.284,83.009,4.538
-37.284,83.657,4.538
-37.284,84.306,4.538
-37.284,84.954,4.538
-37.284,85.602,4.538
-37.284,86.250,4.538
-37.284,86.898,4.537
-37.284,87.546,4.538
-37.284,88.194,4.538
-37.284,88.843,4.538
-37.284,89.491,4.538
-37.284,90.139,4.537
-37.284,90.787,4.538
-37.284,91.435,4.538
-37.284,92.083,4.538
-37.284,92.731,4.538
-37.284,93.380,4.538
-37.284,94.028,4.538
-37.284,94.676,4.538
-36.790,60.324,4.601
-36.790,60.972,4.602
-36.790,61.620,4.602
-36.790,62.269,4.601
-36.790,62.917,4.601
-36.790,63.565,4.602
-36.790,64.213,4.602
-36.790,64.861,4.602
-36.790,65.509,4.601
-36.790,66.157,4.601
-36.790,66.806,4.602
-36.790,67.454,4.602
-36.790,68.102,4.602
-36.790,68.750,4.601
-36.790,69.398,4.601
-36.790,70.046,4.602
-36.790,70.694,4.602
-36.790,71.343,4.601
-36.790,71.991,4.601
-36.790,72.639,4.602
-36.790,73.287,4.602
-36.790,73.935,4.602
-36.790,74.583,4.601
-36.790,75.231,4.601
-36.790,75.880,4.602
-36.790,76.528,4.602
-36.790,77.176,4.602
-36.790,77.824,4.601
-36.790,78.472,4.601
-36.790,79.120,4.602
-36.790,79.769,4.602
-36.790,80.417,4.601
-36.790,81.065,4.601
-36.790,81.713,4.602
-36.790,82.361,4.602
-36.790,83.009,4.602
-36.790,83.657,4.601
-36.790,84.306,4.601
-36.790,84.954,4.602
-36.790,85.602,4.602
-36.790,86.250,4.602
-36.790,86.898,4.601
-36.790,87.546,4.601
-36.790,88.194,4.602
-36.790,88.843,4.602
-36.790,89.491,4.601
-36.790,90.139,4.601
-36.790,90.787,4.602
-36.790,91.435,4.602
-36.790,92.083,4.602
-36.790,92.731,4.601
-36.790,93.380,4.601
-36.790,94.028,4.602
-36.790,94.676,4.602
-36.296,60.324,4.675
-36.296,60.972,4.676
-36.296,61.620,4.676
-36.296,62.269,4.675
-36.296,62.917,4.674
-36.296,63.565,4.675
-36.296,64.213,4.676
-36.296,64.861,4.676
-36.296,65.509,4.675
-36.296,66.157,4.675
-36.296,66.806,4.676
-36.296,67.454,4.676
-36.296,68.102,4.675
-36.296,68.750,4.674
-36.296,69.398,4.675
-36.296,70.046,4.676
-36.296,70.694,4.676
-36.296,71.343,4.675
-36.296,71.991,4.674
-36.296,72.639,4.675
-36.296,73.287,4.676
-36.296,73.935,4.676
-36.296,74.583,4.675
-36.296,75.231,4.675
-36.296,75.880,4.676
-36.296,76.528,4.676
-36.296,77.176,4.675
-36.296,77.824,4.674
-36.296,78.472,4.675
-36.296,79.120,4.676
-36.296,79.769,4.676
-36.296,80.417,4.675
-36.296,81.065,4.674
-36.296,81.713,4.675
-36.296,82.361,4.676
-36.296,83.009,4.676
-36.296,83.657,4.675
-36.296,84.306,4.675
-36.296,84.954,4.676
-36.296,85.602,4.676
-36.296,86.250,4.675
-36.296,86.898,4.674
-36.296,87.546,4.675
-36.296,88.194,4.676
-36.296,88.843,4.676
-36.296,89.491,4.675
-36.296,90.139,4.674
-36.296,90.787,4.675
-36.296,91.435,4.676
-36.296,92.083,4.676
-36.296,92.731,4.675
-36.296,93.380,4.675
-36.296,94.028,4.676
-36.296,94.676,4.676
-35.802,60.324,4.759
-35.802,60.972,4.760
-35.802,61.620,4.760
-35.802,62.269,4.759
-35.802,62.917,4.758
-35.802,63.565,4.759
-35.802,64.213,4.760
-35.802,64.861,4.760
-35.802,65.509,4.759
-35.802,66.157,4.759
-35.802,66.806,4.760
-35.802,67.454,4.760
-35.802,68.102,4.759
-35.802,68.750,4.758
-35.802,69.398,4.759
-35.802,70.046,4.760
-35.802,70.694,4.760
-35.802,71.343,4.759
-35.802,71.991,4.758
-35.802,72.639,4.759
-35.802,73.287,4.760
-35.802,73.935,4.760
-35.802,74.583,4.759
-35.802,75.231,4.759
-35.802,75.880,4.760
-35.802,76.528,4.760
-35.802,77.176,4.759
-35.802,77.824,4.758
-35.802,78.472,4.759
-35.802,79.120,4.760
-35.802,79.769,4.760
-35.802,80.417,4.759
-35.802,81.065,4.758
-35.802,81.713,4.759
-35.802,82.361,4.760
-35.802,83.009,4.760
-35.802,83.657,4.759
-35.802,84.306,4.759
-35.802,84.954,4.760
-35.802,85.602,4.760
-35.802,86.250,4.759
-35.802,86.898,4.758
-35.802,87.546,4.759
-35.802,88.194,4.760
-35.802,88.843,4.760
-35.802,89.491,4.759
-35.802,90.139,4.758
-35.802,90.787,4.759
-35.802,91.435,4.760
-35.802,92.083,4.760
-35.802,92.731,4.759
-35.802,93.380,4.759
-35.802,94.028,4.760
-35.802,94.676,4.760
-35.309,60.324,4.854
-35.309,60.972,4.854
-35.309,61.620,4.854
-35.309,62.269,4.854
-35.309,62.917,4.853
-35.309,63.565,4.854
-35.309,64.213,4.854
-35.309,64.861,4.854
-35.309,65.509,4.853
-35.309,66.157,4.853
-35.309,66.806,4.854
-35.309,67.454,4.855
-35.309,68.102,4.854
-35.309,68.750,4.853
-35.309,69.398,4.854
-35.309,70.046,4.854
-35.309,70.694,4.854
-35.309,71.343,4.854
-35.309,71.991,4.853
-35.309,72.639,4.854
-35.309,73.287,4.854
-35.309,73.935,4.854
-35.309,74.583,4.853
-35.309,75.231,4.853
-35.309,75.880,4.854
-35.309,76.528,4.854
-35.309,77.176,4.854
-35.309,77.824,4.853
-35.309,78.472,4.853
-35.309,79.120,4.854
-35.309,79.769,4.854
-35.309,80.417,4.854
-35.309,81.065,4.853
-35.309,81.713,4.854
-35.309,82.361,4.854
-35.309,83.009,4.854
-35.309,83.657,4.853
-35.309,84.306,4.853
-35.309,84.954,4.854
-35.309,85.602,4.854
-35.309,86.250,4.854
-35.309,86.898,4.853
-35.309,87.546,4.853
-35.309,88.194,4.854
-35.309,88.843,4.854
-35.309,89.491,4.854
-35.309,90.139,4.853
-35.309,90.787,4.854
-35.309,91.435,4.854
-35.309,92.083,4.854
-35.309,92.731,4.853
-35.309,93.380,4.853
-35.309,94.028,4.854
-35.309,94.676,4.855
-34.815,60.324,4.959
-34.815,60.972,4.960
-34.815,61.620,4.960
-34.815,62.269,4.959
-34.815,62.917,4.958
-34.815,63.565,4.960
-34.815,64.213,4.960
-34.815,64.861,4.960
-34.815,65.509,4.959
-34.815,66.157,4.959
-34.815,66.806,4.960
-34.815,67.454,4.960
-34.815,68.102,4.960
-34.815,68.750,4.958
-34.815,69.398,4.959
-34.815,70.046,4.960
-34.815,70.694,4.960
-34.815,71.343,4.959
-34.815,71.991,4.958
-34.815,72.639,4.960
-34.815,73.287,4.960
-34.815,73.935,4.960
-34.815,74.583,4.959
-34.815,75.231,4.959
-34.815,75.880,4.960
-34.815,76.528,4.960
-34.815,77.176,4.960
-34.815,77.824,4.958
-34.815,78.472,4.959
-34.815,79.120,4.960
-34.815,79.769,4.960
-34.815,80.417,4.959
-34.815,81.065,4.958
-34.815,81.713,4.960
-34.815,82.361,4.960
-34.815,83.009,4.960
-34.815,83.657,4.959
-34.815,84.306,4.959
-34.815,84.954,4.960
-34.815,85.602,4.960
-34.815,86.250,4.960
-34.815,86.898,4.958
-34.815,87.546,4.959
-34.815,88.194,4.960
-34.815,88.843,4.960
-34.815,89.491,4.959
-34.815,90.139,4.958
-34.815,90.787,4.960
-34.815,91.435,4.960
-34.815,92.083,4.960
-34.815,92.731,4.959
-34.815,93.380,4.959
-34.815,94.028,4.960
-34.815,94.676,4.960
-34.321,60.324,5.077
-34.321,60.972,5.077
-34.321,61.620,5.078
-34.321,62.269,5.077
-34.321,62.917,5.075
-34.321,63.565,5.077
-34.321,64.213,5.078
-34.321,64.861,5.077
-34.321,65.509,5.076
-34.321,66.157,5.076
-34.321,66.806,5.077
-34.321,67.454,5.078
-34.321,68.102,5.077
-34.321,68.750,5.075
-34.321,69.398,5.077
-34.321,70.046,5.077
-34.321,70.694,5.078
-34.321,71.343,5.077
-34.321,71.991,5.075
-34.321,72.639,5.077
-34.321,73.287,5.078
-34.321,73.935,5.077
-34.321,74.583,5.076
-34.321,75.231,5.076
-34.321,75.880,5.077
-34.321,76.528,5.078
-34.321,77.176,5.077
-34.321,77.824,5.075
-34.321,78.472,5.077
-34.321,79.120,5.077
-34.321,79.769,5.078
-34.321,80.417,5.077
-34.321,81.065,5.075
-34.321,81.713,5.077
-34.321,82.361,5.078
-34.321,83.009,5.077
-34.321,83.657,5.076
-34.321,84.306,5.076
-34.321,84.954,5.077
-34.321,85.602,5.078
-34.321,86.250,5.077
-34.321,86.898,5.075
-34.321,87.546,5.077
-34.321,88.194,5.077
-34.321,88.843,5.078
-34.321,89.491,5.076
-34.321,90.139,5.075
-34.321,90.787,5.077
-34.321,91.435,5.078
-34.321,92.083,5.077
-34.321,92.731,5.076
-34.321,93.380,5.076
-34.321,94.028,5.077
-34.321,94.676,5.078
-33.827,60.324,5.206
-33.827,60.972,5.207
-33.827,61.620,5.207
-33.827,62.269,5.206
-33.827,62.917,5.205
-33.827,63.565,5.206
-33.827,64.213,5.207
-33.827,64.861,5.207
-33.827,65.509,5.205
-33.827,66.157,5.205
-33.827,66.806,5.207
-33.827,67.454,5.207
-33.827,68.102,5.206
-33.827,68.750,5.205
-33.827,69.398,5.206
-33.827,70.046,5.207
-33.827,70.694,5.207
-33.827,71.343,5.206
-33.827,71.991,5.205
-33.827,72.639,5.206
-33.827,73.287,5.207
-33.827,73.935,5.207
-33.827,74.583,5.205
-33.827,75.231,5.205
-33.827,75.880,5.207
-33.827,76.528,5.207
-33.827,77.176,5.206
-33.827,77.824,5.205
-33.827,78.472,5.206
-33.827,79.120,5.207
-33.827,79.769,5.207
-33.827,80.417,5.206
-33.827,81.065,5.205
-33.827,81.713,5.206
-33.827,82.361,5.207
-33.827,83.009,5.207
-33.827,83.657,5.205
-33.827,84.306,5.205
-33.827,84.954,5.207
-33.827,85.602,5.207
-33.827,86.250,5.206
-33.827,86.898,5.205
-33.827,87.546,5.206
-33.827,88.194,5.207
-33.827,88.843,5.207
-33.827,89.491,5.206
-33.827,90.139,5.205
-33.827,90.787,5.206
-33.827,91.435,5.207
-33.827,92.083,5.207
-33.827,92.731,5.205
-33.827,93.380,5.205
-33.827,94.028,5.207
-33.827,94.676,5.207
-33.333,60.324,5.348
-33.333,60.972,5.349
-33.333,61.620,5.349
-33.333,62.269,5.348
-33.333,62.917,5.347
-33.333,63.565,5.349
-33.333,64.213,5.350
-33.333,64.861,5.349
-33.333,65.509,5.348
-33.333,66.157,5.348
-33.333,66.806,5.349
-33.333,67.454,5.350
-33.333,68.102,5.349
-33.333,68.750,5.347
-33.333,69.398,5.348
-33.333,70.046,5.349
-33.333,70.694,5.349
-33.333,71.343,5.348
-33.333,71.991,5.347
-33.333,72.639,5.349
-33.333,73.287,5.350
-33.333,73.935,5.349
-33.333,74.583,5.348
-33.333,75.231,5.348
-33.333,75.880,5.349
-33.333,76.528,5.350
-33.333,77.176,5.349
-33.333,77.824,5.347
-33.333,78.472,5.348
-33.333,79.120,5.349
-33.333,79.769,5.349
-33.333,80.417,5.348
-33.333,81.065,5.347
-33.333,81.713,5.349
-33.333,82.361,5.350
-33.333,83.009,5.349
-33.333,83.657,5.348
-33.333,84.306,5.348
-33.333,84.954,5.349
-33.333,85.602,5.350
-33.333,86.250,5.349
-33.333,86.898,5.347
-33.333,87.546,5.348
-33.333,88.194,5.349
-33.333,88.843,5.349
-33.333,89.491,5.348
-33.333,90.139,5.347
-33.333,90.787,5.349
-33.333,91.435,5.350
-33.333,92.083,5.349
-33.333,92.731,5.348
-33.333,93.380,5.348
-33.333,94.028,5.349
-33.333,94.676,5.350
-32.840,60.324,5.504
-32.840,60.972,5.505
-32.840,61.620,5.506
-32.840,62.269,5.504
-32.840,62.917,5.503
-32.840,63.565,5.505
-32.840,64.213,5.506
-32.840,64.861,5.505
-32.840,65.509,5.503
-32.840,66.157,5.504
-32.840,66.806,5.505
-32.840,67.454,5.506
-32.840,68.102,5.505
-32.840,68.750,5.503
-32.840,69.398,5.504
-32.840,70.046,5.505
-32.840,70.694,5.506
-32.840,71.343,5.504
-32.840,71.991,5.503
-32.840,72.639,5.505
-32.840,73.287,5.506
-32.840,73.935,5.505
-32.840,74.583,5.503
-32.840,75.231,5.504
-32.840,75.880,5.505
-32.840,76.528,5.506
-32.840,77.176,5.505
-32.840,77.824,5.503
-32.840,78.472,5.504
-32.840,79.120,5.505
-32.840,79.769,5.506
-32.840,80.417,5.504
-32.840,81.065,5.503
-32.840,81.713,5.505
-32.840,82.361,5.506
-32.840,83.009,5.505
-32.840,83.657,5.503
-32.840,84.306,5.504
-32.840,84.954,5.505
-32.840,85.602,5.506
-32.840,86.250,5.505
-32.840,86.898,5.503
-32.840,87.546,5.504
-32.840,88.194,5.505
-32.840,88.843,5.506
-32.840,89.491,5.504
-32.840,90.139,5.503
-32.840,90.787,5.505
-32.840,91.435,5.506
-32.840,92.083,5.505
-32.840,92.731,5.503
-32.840,93.380,5.504
-32.840,94.028,5.505
-32.840,94.676,5.506
-32.346,60.324,5.675
-32.346,60.972,5.676
-32.346,61.620,5.676
-32.346,62.269,5.675
-32.346,62.917,5.674
-32.346,63.565,5.676
-32.346,64.213,5.676
-32.346,64.861,5.676
-32.346,65.509,5.674
-32.346,66.157,5.674
-32.346,66.806,5.676
-32.346,67.454,5.676
-32.346,68.102,5.675
-32.346,68.750,5.673
-32.346,69.398,5.675
-32.346,70.046,5.676
-32.346,70.694,5.676
-32.346,71.343,5.675
-32.346,71.991,5.674
-32.346,72.639,5.676
-32.346,73.287,5.676
-32.346,73.935,5.676
-32.346,74.583,5.674
-32.346,75.231,5.674
-32.346,75.880,5.676
-32.346,76.528,5.676
-32.346,77.176,5.675
-32.346,77.824,5.673
-32.346,78.472,5.675
-32.346,79.120,5.676
-32.346,79.769,5.676
-32.346,80.417,5.675
-32.346,81.065,5.674
-32.346,81.713,5.676
-32.346,82.361,5.676
-32.346,83.009,5.676
-32.346,83.657,5.674
-32.346,84.306,5.674
-32.346,84.954,5.676
-32.346,85.602,5.676
-32.346,86.250,5.675
-32.346,86.898,5.673
-32.346,87.546,5.675
-32.346,88.194,5.676
-32.346,88.843,5.676
-32.346,89.491,5.675
-32.346,90.139,5.674
-32.346,90.787,5.676
-32.346,91.435,5.676
-32.346,92.083,5.676
-32.346,92.731,5.674
-32.346,93.380,5.674
-32.346,94.028,5.676
-32.346,94.676,5.676
-31.852,60.324,5.861
-31.852,60.972,5.863
-31.852,61.620,5.863
-31.852,62.269,5.861
-31.852,62.917,5.860
-31.852,63.565,5.862
-31.852,64.213,5.863
-31.852,64.861,5.862
-31.852,65.509,5.860
-31.852,66.157,5.861
-31.852,66.806,5.863
-31.852,67.454,5.863
-31.852,68.102,5.862
-31.852,68.750,5.859
-31.852,69.398,5.861
-31.852,70.046,5.863
-31.852,70.694,5.863
-31.852,71.343,5.861
-31.852,71.991,5.860
-31.852,72.639,5.862
-31.852,73.287,5.863
-31.852,73.935,5.862
-31.852,74.583,5.860
-31.852,75.231,5.861
-31.852,75.880,5.863
-31.852,76.528,5.863
