"Coverage Properties"
"LatLon Region Coverage                                             "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.5000 (deg)                                           "
"Number of Points: 10206                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"    Constellation/SSO:    Active                                   "
"        Satellite/R_SSO_P1_S1:    Active                           "
"        Satellite/R_SSO_P1_S2:    Active                           "
"        Satellite/R_SSO_P1_S3:    Active                           "
"        Satellite/R_SSO_P1_S4:    Active                           "
"        Satellite/R_SSO_P1_S5:    Active                           "
"        Satellite/R_SSO_P1_S6:    Active                           "
"        Satellite/R_SSO_P2_S1:    Active                           "
"        Satellite/R_SSO_P2_S2:    Active                           "
"        Satellite/R_SSO_P2_S3:    Active                           "
"        Satellite/R_SSO_P2_S4:    Active                           "
"        Satellite/R_SSO_P2_S5:    Active                           "
"        Satellite/R_SSO_P2_S6:    Active                           "
"        Satellite/R_SSO_P3_S1:    Active                           "
"        Satellite/R_SSO_P3_S2:    Active                           "
"        Satellite/R_SSO_P3_S3:    Active                           "
"        Satellite/R_SSO_P3_S4:    Active                           "
"        Satellite/R_SSO_P3_S5:    Active                           "
"        Satellite/R_SSO_P3_S6:    Active                           "
"Access Interval: 1 Jul 2026 00:00:00.000 to 3 Aug 2026 00:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "


"FOM Properties"
"Maximum Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "


"Latitude (deg)","Longitude (deg)","FOM Value (min)"
-38.272,67.454,156.522
-38.272,68.102,156.522
-38.272,68.750,156.506
-38.272,69.398,156.510
-38.272,70.046,156.518
-38.272,70.694,156.526
-38.272,71.343,156.533
-38.272,71.991,156.539
-38.272,72.639,156.536
-38.272,73.287,156.534
-38.272,73.935,156.519
-38.272,74.583,156.520
-38.272,75.231,156.520
-38.272,75.880,156.519
-38.272,76.528,156.521
-38.272,77.176,156.527
-38.272,77.824,156.507
-38.272,78.472,156.516
-38.272,79.120,156.524
-38.272,79.769,156.532
-38.272,80.417,156.538
-38.272,81.065,156.533
-38.272,81.713,156.532
-38.272,82.361,156.530
-38.272,83.009,156.516
-38.272,83.657,156.516
-38.272,84.306,156.516
-38.272,84.954,156.520
-38.272,85.602,156.526
-38.272,86.250,156.514
-38.272,86.898,156.513
-38.272,87.546,156.522
-38.272,88.194,156.530
-38.272,88.843,156.537
-38.272,89.491,156.529
-38.272,90.139,156.528
-38.272,90.787,156.527
-38.272,91.435,156.526
-38.272,92.083,156.512
-38.272,92.731,156.512
-38.272,93.380,156.518
-38.272,94.028,156.525
-38.272,94.676,156.532
-37.778,60.324,156.760
-37.778,60.972,156.762
-37.778,61.620,156.770
-37.778,62.269,156.777
-37.778,62.917,156.783
-37.778,63.565,156.762
-37.778,64.213,156.789
-37.778,64.861,156.780
-37.778,65.509,156.774
-37.778,66.157,156.774
-37.778,66.806,156.773
-37.778,67.454,156.773
-37.778,68.102,156.772
-37.778,68.750,156.756
-37.778,69.398,156.760
-37.778,70.046,156.768
-37.778,70.694,156.776
-37.778,71.343,156.782
-37.778,71.991,156.789
-37.778,72.639,156.786
-37.778,73.287,156.785
-37.778,73.935,156.770
-37.778,74.583,156.770
-37.778,75.231,156.770
-37.778,75.880,156.769
-37.778,76.528,156.771
-37.778,77.176,156.777
-37.778,77.824,156.757
-37.778,78.472,156.766
-37.778,79.120,156.774
-37.778,79.769,156.781
-37.778,80.417,156.788
-37.778,81.065,156.783
-37.778,81.713,156.782
-37.778,82.361,156.780
-37.778,83.009,156.766
-37.778,83.657,156.766
-37.778,84.306,156.766
-37.778,84.954,156.770
-37.778,85.602,156.776
-37.778,86.250,156.764
-37.778,86.898,156.763
-37.778,87.546,156.772
-37.778,88.194,156.780
-37.778,88.843,156.787
-37.778,89.491,156.779
-37.778,90.139,156.779
-37.778,90.787,156.778
-37.778,91.435,156.776
-37.778,92.083,156.762
-37.778,92.731,156.763
-37.778,93.380,156.768
-37.778,94.028,156.775
-37.778,94.676,156.781
-37.284,60.324,157.009
-37.284,60.972,157.011
-37.284,61.620,157.018
-37.284,62.269,157.025
-37.284,62.917,157.032
-37.284,63.565,157.010
-37.284,64.213,157.019
-37.284,64.861,156.994
-37.284,65.509,156.994
-37.284,66.157,157.023
-37.284,66.806,157.022
-37.284,67.454,157.022
-37.284,68.102,157.021
-37.284,68.750,157.005
-37.284,69.398,157.008
-37.284,70.046,157.017
-37.284,70.694,157.024
-37.284,71.343,157.031
-37.284,71.991,157.006
-37.284,72.639,157.016
-37.284,73.287,157.033
-37.284,73.935,156.991
-37.284,74.583,157.019
-37.284,75.231,157.019
-37.284,75.880,157.018
-37.284,76.528,157.019
-37.284,77.176,157.025
-37.284,77.824,157.005
-37.284,78.472,157.014
-37.284,79.120,157.022
-37.284,79.769,157.030
-37.284,80.417,157.002
-37.284,81.065,157.013
-37.284,81.713,157.031
-37.284,82.361,157.029
-37.284,83.009,157.015
-37.284,83.657,157.015
-37.284,84.306,157.015
-37.284,84.954,157.018
-37.284,85.602,157.025
-37.284,86.250,157.013
-37.284,86.898,157.011
-37.284,87.546,157.020
-37.284,88.194,157.028
-37.284,88.843,156.999
-37.284,89.491,157.009
-37.284,90.139,157.027
-37.284,90.787,157.026
-37.284,91.435,157.025
-37.284,92.083,157.011
-37.284,92.731,157.012
-37.284,93.380,157.017
-37.284,94.028,157.023
-37.284,94.676,157.030
-36.790,60.324,157.257
-36.790,60.972,157.258
-36.790,61.620,157.266
-36.790,62.269,157.273
-36.790,62.917,157.279
-36.790,63.565,157.257
-36.790,64.213,157.266
-36.790,64.861,157.242
-36.790,65.509,157.242
-36.790,66.157,157.248
-36.790,66.806,157.270
-36.790,67.454,157.269
-36.790,68.102,157.268
-36.790,68.750,157.253
-36.790,69.398,157.256
-36.790,70.046,157.264
-36.790,70.694,157.271
-36.790,71.343,157.278
-36.790,71.991,157.254
-36.790,72.639,157.263
-36.790,73.287,157.257
-36.790,73.935,157.239
-36.790,74.583,157.245
-36.790,75.231,157.267
-36.790,75.880,157.266
-36.790,76.528,157.267
-36.790,77.176,157.272
-36.790,77.824,157.253
-36.790,78.472,157.261
-36.790,79.120,157.269
-36.790,79.769,157.250
-36.790,80.417,157.250
-36.790,81.065,157.260
-36.790,81.713,157.256
-36.790,82.361,157.277
-36.790,83.009,157.243
-36.790,83.657,157.263
-36.790,84.306,157.263
-36.790,84.954,157.265
-36.790,85.602,157.272
-36.790,86.250,157.261
-36.790,86.898,157.259
-36.790,87.546,157.267
-36.790,88.194,157.247
-36.790,88.843,157.247
-36.790,89.491,157.248
-36.790,90.139,157.275
-36.790,90.787,157.274
-36.790,91.435,157.273
-36.790,92.083,157.259
-36.790,92.731,157.259
-36.790,93.380,157.264
-36.790,94.028,157.271
-36.790,94.676,157.277
-36.296,60.324,157.504
-36.296,60.972,157.504
-36.296,61.620,157.512
-36.296,62.269,157.519
-36.296,62.917,157.503
-36.296,63.565,157.503
-36.296,64.213,157.498
-36.296,64.861,157.488
-36.296,65.509,157.489
-36.296,66.157,157.494
-36.296,66.806,157.501
-36.296,67.454,157.516
-36.296,68.102,157.515
-36.296,68.750,157.500
-36.296,69.398,157.502
-36.296,70.046,157.510
-36.296,70.694,157.517
-36.296,71.343,157.500
-36.296,71.991,157.500
-36.296,72.639,157.497
-36.296,73.287,157.503
-36.296,73.935,157.485
-36.296,74.583,157.492
-36.296,75.231,157.513
-36.296,75.880,157.513
-36.296,76.528,157.513
-36.296,77.176,157.519
-36.296,77.824,157.499
-36.296,78.472,157.507
-36.296,79.120,157.515
-36.296,79.769,157.497
-36.296,80.417,157.496
-36.296,81.065,157.496
-36.296,81.713,157.502
-36.296,82.361,157.482
-36.296,83.009,157.489
-36.296,83.657,157.510
-36.296,84.306,157.509
-36.296,84.954,157.512
-36.296,85.602,157.518
-36.296,86.250,157.507
-36.296,86.898,157.505
-36.296,87.546,157.513
-36.296,88.194,157.494
-36.296,88.843,157.493
-36.296,89.491,157.494
-36.296,90.139,157.501
-36.296,90.787,157.521
-36.296,91.435,157.519
-36.296,92.083,157.506
-36.296,92.731,157.506
-36.296,93.380,157.510
-36.296,94.028,157.517
-36.296,94.676,157.505
-35.802,60.324,157.741
-35.802,60.972,157.749
-35.802,61.620,157.757
-35.802,62.269,157.749
-35.802,62.917,157.748
-35.802,63.565,157.747
-35.802,64.213,157.743
-35.802,64.861,157.734
-35.802,65.509,157.734
-35.802,66.157,157.739
-35.802,66.806,157.746
-35.802,67.454,157.753
-35.802,68.102,157.760
-35.802,68.750,157.738
-35.802,69.398,157.747
-35.802,70.046,157.755
-35.802,70.694,157.746
-35.802,71.343,157.745
-35.802,71.991,157.745
-35.802,72.639,157.743
-35.802,73.287,157.748
-35.802,73.935,157.731
-35.802,74.583,157.737
-35.802,75.231,157.744
-35.802,75.880,157.758
-35.802,76.528,157.758
-35.802,77.176,157.764
-35.802,77.824,157.744
-35.802,78.472,157.752
-35.802,79.120,157.742
-35.802,79.769,157.742
-35.802,80.417,157.742
-35.802,81.065,157.741
-35.802,81.713,157.747
-35.802,82.361,157.727
-35.802,83.009,157.734
-35.802,83.657,157.742
-35.802,84.306,157.755
-35.802,84.954,157.757
-35.802,85.602,157.763
-35.802,86.250,157.753
-35.802,86.898,157.750
-35.802,87.546,157.739
-35.802,88.194,157.739
-35.802,88.843,157.739
-35.802,89.491,157.739
-35.802,90.139,157.746
-35.802,90.787,157.752
-35.802,91.435,157.765
-35.802,92.083,157.739
-35.802,92.731,157.751
-35.802,93.380,157.755
-35.802,94.028,157.762
-35.802,94.676,157.750
-35.309,60.324,157.985
-35.309,60.972,157.993
-35.309,61.620,157.994
-35.309,62.269,157.993
-35.309,62.917,157.993
-35.309,63.565,157.992
-35.309,64.213,157.988
-35.309,64.861,157.978
-35.309,65.509,157.979
-35.309,66.157,157.983
-35.309,66.806,157.990
-35.309,67.454,157.997
-35.309,68.102,158.003
-35.309,68.750,157.982
-35.309,69.398,157.991
-35.309,70.046,157.990
-35.309,70.694,157.990
-35.309,71.343,157.990
-35.309,71.991,157.989
-35.309,72.639,157.987
-35.309,73.287,157.992
-35.309,73.935,157.975
-35.309,74.583,157.981
-35.309,75.231,157.988
-35.309,75.880,157.995
-35.309,76.528,158.002
-35.309,77.176,158.001
-35.309,77.824,157.988
-35.309,78.472,157.987
-35.309,79.120,157.987
-35.309,79.769,157.987
-35.309,80.417,157.986
-35.309,81.065,157.986
-35.309,81.713,157.991
-35.309,82.361,157.972
-35.309,83.009,157.978
-35.309,83.657,157.986
-35.309,84.306,157.994
-35.309,84.954,158.000
-35.309,85.602,157.998
-35.309,86.250,157.997
-35.309,86.898,157.983
-35.309,87.546,157.983
-35.309,88.194,157.984
-35.309,88.843,157.983
-35.309,89.491,157.984
-35.309,90.139,157.990
-35.309,90.787,157.996
-35.309,91.435,157.975
-35.309,92.083,157.983
-35.309,92.731,157.991
-35.309,93.380,157.999
-35.309,94.028,157.995
-35.309,94.676,157.994
-34.815,60.324,158.228
-34.815,60.972,158.211
-34.815,61.620,158.211
-34.815,62.269,158.237
-34.815,62.917,158.236
-34.815,63.565,158.235
-34.815,64.213,158.231
-34.815,64.861,158.222
-34.815,65.509,158.222
-34.815,66.157,158.226
-34.815,66.806,158.233
-34.815,67.454,158.240
-34.815,68.102,158.216
-34.815,68.750,158.225
-34.815,69.398,158.221
-34.815,70.046,158.213
-34.815,70.694,158.233
-34.815,71.343,158.233
-34.815,71.991,158.232
-34.815,72.639,158.230
-34.815,73.287,158.235
-34.815,73.935,158.219
-34.815,74.583,158.224
-34.815,75.231,158.231
-34.815,75.880,158.238
-34.815,76.528,158.212
-34.815,77.176,158.221
-34.815,77.824,158.220
-34.815,78.472,158.206
-34.815,79.120,158.230
-34.815,79.769,158.230
-34.815,80.417,158.230
-34.815,81.065,158.229
-34.815,81.713,158.234
-34.815,82.361,158.215
-34.815,83.009,158.221
-34.815,83.657,158.229
-34.815,84.306,158.236
-34.815,84.954,158.216
-34.815,85.602,158.218
-34.815,86.250,158.240
-34.815,86.898,158.225
-34.815,87.546,158.227
-34.815,88.194,158.227
-34.815,88.843,158.227
-34.815,89.491,158.226
-34.815,90.139,158.233
-34.815,90.787,158.239
-34.815,91.435,158.218
-34.815,92.083,158.226
-34.815,92.731,158.234
-34.815,93.380,158.213
-34.815,94.028,158.238
-34.815,94.676,158.238
-34.321,60.324,158.459
-34.321,60.972,158.454
-34.321,61.620,158.454
-34.321,62.269,158.454
-34.321,62.917,158.478
-34.321,63.565,158.477
-34.321,64.213,158.473
-34.321,64.861,158.464
-34.321,65.509,158.464
-34.321,66.157,158.468
-34.321,66.806,158.475
-34.321,67.454,158.463
-34.321,68.102,158.458
-34.321,68.750,158.458
-34.321,69.398,158.463
-34.321,70.046,158.451
-34.321,70.694,158.451
-34.321,71.343,158.475
-34.321,71.991,158.475
-34.321,72.639,158.471
-34.321,73.287,158.477
-34.321,73.935,158.461
-34.321,74.583,158.465
-34.321,75.231,158.473
-34.321,75.880,158.461
-34.321,76.528,158.454
-34.321,77.176,158.456
-34.321,77.824,158.462
-34.321,78.472,158.448
-34.321,79.120,158.449
-34.321,79.769,158.472
-34.321,80.417,158.472
-34.321,81.065,158.471
-34.321,81.713,158.476
-34.321,82.361,158.458
-34.321,83.009,158.463
-34.321,83.657,158.471
-34.321,84.306,158.458
-34.321,84.954,158.458
-34.321,85.602,158.455
-34.321,86.250,158.461
-34.321,86.898,158.467
-34.321,87.546,158.453
-34.321,88.194,158.469
-34.321,88.843,158.469
-34.321,89.491,158.469
-34.321,90.139,158.475
-34.321,90.787,158.481
-34.321,91.435,158.459
-34.321,92.083,158.468
-34.321,92.731,158.455
-34.321,93.380,158.455
-34.321,94.028,158.455
-34.321,94.676,158.459
-33.827,60.324,158.700
-33.827,60.972,158.695
-33.827,61.620,158.695
-33.827,62.269,158.695
-33.827,62.917,158.702
-33.827,63.565,158.708
-33.827,64.213,158.714
-33.827,64.861,158.705
-33.827,65.509,158.706
-33.827,66.157,158.709
-33.827,66.806,158.705
-33.827,67.454,158.705
-33.827,68.102,158.693
-33.827,68.750,158.699
-33.827,69.398,158.704
-33.827,70.046,158.692
-33.827,70.694,158.692
-33.827,71.343,158.700
-33.827,71.991,158.716
-33.827,72.639,158.712
-33.827,73.287,158.718
-33.827,73.935,158.702
-33.827,74.583,158.706
-33.827,75.231,158.703
-33.827,75.880,158.702
-33.827,76.528,158.691
-33.827,77.176,158.697
-33.827,77.824,158.703
-33.827,78.472,158.689
-33.827,79.120,158.690
-33.827,79.769,158.697
-33.827,80.417,158.713
-33.827,81.065,158.713
-33.827,81.713,158.717
-33.827,82.361,158.699
-33.827,83.009,158.704
-33.827,83.657,158.700
-33.827,84.306,158.700
-33.827,84.954,158.699
-33.827,85.602,158.696
-33.827,86.250,158.702
-33.827,86.898,158.708
-33.827,87.546,158.687
-33.827,88.194,158.695
-33.827,88.843,158.710
-33.827,89.491,158.710
-33.827,90.139,158.709
-33.827,90.787,158.695
-33.827,91.435,158.700
-33.827,92.083,158.699
-33.827,92.731,158.697
-33.827,93.380,158.697
-33.827,94.028,158.696
-33.827,94.676,158.700
-33.333,60.324,158.940
-33.333,60.972,158.936
-33.333,61.620,158.936
-33.333,62.269,158.935
-33.333,62.917,158.942
-33.333,63.565,158.948
-33.333,64.213,158.954
-33.333,64.861,158.933
-33.333,65.509,158.941
-33.333,66.157,158.946
-33.333,66.806,158.946
-33.333,67.454,158.945
-33.333,68.102,158.933
-33.333,68.750,158.939
-33.333,69.398,158.944
-33.333,70.046,158.933
-33.333,70.694,158.933
-33.333,71.343,158.940
-33.333,71.991,158.946
-33.333,72.639,158.921
-33.333,73.287,158.930
-33.333,73.935,158.943
-33.333,74.583,158.943
-33.333,75.231,158.943
-33.333,75.880,158.943
-33.333,76.528,158.931
-33.333,77.176,158.938
-33.333,77.824,158.943
-33.333,78.472,158.930
-33.333,79.120,158.930
-33.333,79.769,158.937
-33.333,80.417,158.944
-33.333,81.065,158.953
-33.333,81.713,158.926
-33.333,82.361,158.939
-33.333,83.009,158.940
-33.333,83.657,158.940
-33.333,84.306,158.940
-33.333,84.954,158.940
-33.333,85.602,158.936
-33.333,86.250,158.942
-33.333,86.898,158.948
-33.333,87.546,158.927
-33.333,88.194,158.935
-33.333,88.843,158.942
-33.333,89.491,158.950
-33.333,90.139,158.950
-33.333,90.787,158.936
-33.333,91.435,158.936
-33.333,92.083,158.939
-33.333,92.731,158.937
-33.333,93.380,158.937
-33.333,94.028,158.937
-33.333,94.676,158.940
-32.840,60.324,159.180
-32.840,60.972,159.175
-32.840,61.620,159.175
-32.840,62.269,159.175
-32.840,62.917,159.181
-32.840,63.565,159.162
-32.840,64.213,159.164
-32.840,64.861,159.172
-32.840,65.509,159.171
-32.840,66.157,159.164
-32.840,66.806,159.185
-32.840,67.454,159.185
-32.840,68.102,159.173
-32.840,68.750,159.178
-32.840,69.398,159.184
-32.840,70.046,159.172
-32.840,70.694,159.173
-32.840,71.343,159.179
-32.840,71.991,159.158
-32.840,72.639,159.160
-32.840,73.287,159.165
-32.840,73.935,159.170
-32.840,74.583,159.161
-32.840,75.231,159.182
-32.840,75.880,159.182
-32.840,76.528,159.171
-32.840,77.176,159.177
-32.840,77.824,159.183
-32.840,78.472,159.170
-32.840,79.120,159.170
-32.840,79.769,159.177
-32.840,80.417,159.154
-32.840,81.065,159.156
-32.840,81.713,159.163
-32.840,82.361,159.169
-32.840,83.009,159.174
-32.840,83.657,159.179
-32.840,84.306,159.180
-32.840,84.954,159.179
-32.840,85.602,159.175
-32.840,86.250,159.181
-32.840,86.898,159.187
-32.840,87.546,159.167
-32.840,88.194,159.174
-32.840,88.843,159.167
-32.840,89.491,159.154
-32.840,90.139,159.161
-32.840,90.787,159.167
-32.840,91.435,159.173
-32.840,92.083,159.178
-32.840,92.731,159.177
-32.840,93.380,159.177
-32.840,94.028,159.176
-32.840,94.676,159.179
-32.346,60.324,159.418
-32.346,60.972,159.414
-32.346,61.620,159.414
-32.346,62.269,159.414
-32.346,62.917,159.399
-32.346,63.565,159.400
-32.346,64.213,159.401
-32.346,64.861,159.405
-32.346,65.509,159.410
-32.346,66.157,159.402
-32.346,66.806,159.398
